the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
85,順位戦,B級2組,3回戦,,2026-08-05,☗,深浦康市,☆,★,行方尚史,☖,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,三浦弘行,☆,★,佐藤和俊,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,及川拓馬,★,☆,都成竜馬,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☗,佐々木慎,★,☆,木村一基,☖,
74,王座戦,挑戦者決定戦,,,2026-08-05,☗,広瀬章人,☆,★,藤井聡太,☖,
52,棋王戦,挑戦者決定トーナメント,2回戦,,2026-08-05,☖,藤本渚,☆,★,近藤誠也,☗,
57,新人戦,トーナメント,準々決勝,,2026-08-05,☗,永井大三段,☆,★,鳥巣友希三段,☖,C
39,竜王戦,挑戦者決定戦,三番勝負,第1局,2026-08-04,☗,柵木幹太,☆,★,服部慎一郎,☖,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,藤井猛,☆,★,井上慶太,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☗,鈴木大介,☆,★,飯島栄治,☖,
85,順位戦,C級1組,3回戦,,2026-08-04,☗,杉本昌隆,★,☆,阿部健治郎,☖,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,冨田誠也,☆,★,片上大輔,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,三枚堂達也,☆,★,黒沢怜生,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,高田明浩,☆,★,西尾明,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☗,飯塚祐紀,☆,★,門倉啓太,☖,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,黒田尭之,☆,★,阿部隆,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,出口若武,☆,★,宮本広志,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,上野裕寿,☆,★,宮田敦史,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☗,野月浩貴,☆,★,高崎一生,☖,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,先崎学,★,☆,古森悠太,☗,
85,順位戦,C級1組,3回戦,,2026-08-04,☗,村田顕弘,★,☆,高野智史,☖,
85,順位戦,C級1組,3回戦,,2026-08-04,☖,船江恒平,★,☆,佐々木大地,☗,千日手
85,順位戦,C級1組,3回戦,,2026-08-04,☖,畠山鎮,☆,★,中川大輔,☗,
47,JT杯,トーナメント,1回戦,第4局,2026-08-01,☖,八代弥,☆,★,増田康宏,☗,福岡大会
98,棋聖戦,予選,ヘ組,2回戦,2026-07-31,☗,狩山幹生,☆,★,村田顕弘,☖,
98,棋聖戦,予選,ヘ組,準決勝,2026-07-31,☗,冨田誠也,★,☆,狩山幹生,☖,
20,朝日杯,一次予選,9組,1回戦,2026-07-31,☗,塚田泰明,☆,★,伊藤沙恵,☖,
20,朝日杯,一次予選,9組,2回戦,2026-07-31,☗,塚田泰明,★,☆,先崎学,☖,
57,新人戦,トーナメント,準々決勝,,2026-07-31,☖,上野裕寿,★,☆,森本才跳,☗,D
39,竜王戦,5組,昇級者決定戦,4回戦,2026-07-30,☖,古森悠太,★,☆,藤森哲也,☗,
39,竜王戦,6組,昇級者決定戦,4回戦,2026-07-30,☗,吉池隆真,★,☆,宮嶋健太,☖,
85,順位戦,B級1組,3回戦,,2026-07-30,☗,渡辺明,☆,★,藤本渚,☖,
85,順位戦,B級1組,3回戦,,2026-07-30,☖,大橋貴洸,★,☆,菅井竜也,☗,
85,順位戦,B級1組,3回戦,,2026-07-30,☖,斎藤慎太郎,★,☆,服部慎一郎,☗,
85,順位戦,B級1組,3回戦,,2026-07-30,☖,澤田真吾,★,☆,稲葉陽,☗,
85,順位戦,B級1組,3回戦,,2026-07-30,☗,大石直嗣,★,☆,佐藤康光,☖,
85,順位戦,B級1組,3回戦,,2026-07-30,☗,山崎隆之,☆,★,久保利明,☖,
85,順位戦,C級2組,3回戦,,2026-07-30,☖,中村修,☆,★,真田圭一,☗,
85,順位戦,C級2組,3回戦,,2026-07-30,☗,遠山雄亮,★,☆,横山友紀,☖,
85,順位戦,C級2組,3回戦,,2026-07-30,☖,井田明宏,☆,★,阿部光瑠,☗,
85,順位戦,C級2組,3回戦,,2026-07-30,☖,杉本和陽,★,☆,山本博志,☗,
85,順位戦,C級2組,3回戦,,2026-07-30,☖,長谷部浩平,☆,★,窪田義行,☗,
85,順位戦,C級2組,3回戦,,2026-07-30,☗,小山怜央,☆,★,田中悠一,☖,
85,順位戦,C級2組,3回戦,,2026-07-30,☖,齊藤優希,☆,★,森下卓,☗,
85,順位戦,C級2組,3回戦,,2026-07-30,☖,石川優太,☆,★,佐藤秀司,☗,
85,順位戦,C級2組,3回戦,,2026-07-30,☗,小山直希,☆,★,高橋道雄,☖,
85,順位戦,C級2組,3回戦,,2026-07-30,☗,渡辺大夢,☆,★,西川和宏,☖,
